DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 15:07:03.161,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
12578010,0.7560,-0.0136,0.0038,0.6544,-0.1154,0.1080,-0.1236,0
12578177,0.7559,-0.0137,0.0038,0.6546,-0.1371,0.1082,-0.1042,0
12578344,0.7559,-0.0138,0.0038,0.6546,-0.1355,0.1044,-0.1120,0
12578510,0.7557,-0.0139,0.0038,0.6547,-0.1238,0.1013,-0.1117,0
12578677,0.7556,-0.0140,0.0037,0.6549,-0.1392,0.1105,-0.1041,0
12578844,0.7554,-0.0141,0.0037,0.6550,-0.1421,0.1143,-0.0969,0
12579010,0.7554,-0.0142,0.0037,0.6551,-0.1216,0.1123,-0.1128,0
12579177,0.7553,-0.0143,0.0037,0.6552,-0.1374,0.1062,-0.1086,0
12579344,0.7554,-0.0144,0.0036,0.6551,-0.1390,0.1131,-0.1084,0
12579510,0.7554,-0.0145,0.0036,0.6551,-0.1472,0.1128,-0.1160,0
12579677,0.7553,-0.0146,0.0036,0.6552,-0.1390,0.1224,-0.1189,0
12579844,0.7551,-0.0147,0.0036,0.6554,-0.1551,0.1133,-0.1172,0
12580010,0.7551,-0.0148,0.0035,0.6555,-0.1429,0.1177,-0.1144,0
12580177,0.7549,-0.0149,0.0035,0.6556,-0.1446,0.1218,-0.0973,0
12580344,0.7548,-0.0150,0.0035,0.6557,-0.1423,0.1148,-0.1141,0
12580511,0.7547,-0.0151,0.0035,0.6559,-0.1531,0.1317,-0.0968,0
12580677,0.7546,-0.0152,0.0034,0.6560,-0.1474,0.1268,-0.1235,0
12580844,0.7545,-0.0153,0.0034,0.6561,-0.1428,0.1114,-0.0930,0
12581011,0.7544,-0.0154,0.0034,0.6562,-0.1479,0.1215,-0.1087,0
12581177,0.7544,-0.0155,0.0034,0.6563,-0.1568,0.1188,-0.1182,0
12581344,0.7543,-0.0156,0.0034,0.6563,-0.1471,0.1216,-0.1299,0
