DeviceTag: Movella DOT2,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:21:03.008,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
23719294,0.1948,-0.4579,0.4142,-0.7621,-1.3276,-7.3318,1.6016,0
23719460,0.2551,-0.4131,0.4299,-0.7612,-0.2829,-6.2634,-1.0417,0
23719627,0.3131,-0.3654,0.4468,-0.7542,0.8844,-4.5841,-2.3454,0
23719794,0.3672,-0.3170,0.4633,-0.7416,1.5114,-3.2665,-2.7434,0
23719961,0.4155,-0.2670,0.4793,-0.7255,1.8813,-2.0453,-2.5148,0
23720127,0.4576,-0.2153,0.4956,-0.7061,1.2527,-1.2872,-2.4845,0
23720294,0.4928,-0.1614,0.5133,-0.6838,0.6247,-1.0674,-2.6284,0
23720461,0.5227,-0.1057,0.5319,-0.6577,0.1336,-0.8187,-3.1474,0
23720627,0.5486,-0.0471,0.5509,-0.6272,-0.0194,-1.0069,-3.6185,0
23720794,0.5733,0.0124,0.5669,-0.5914,0.1604,-0.8976,-4.3066,0
23720961,0.5982,0.0721,0.5779,-0.5504,0.7728,-0.4854,-4.3870,0
23721127,0.6226,0.1315,0.5828,-0.5054,0.5288,0.3901,-4.3206,0
23721294,0.6456,0.1892,0.5812,-0.4578,0.5412,0.8434,-3.6020,0
23721461,0.6660,0.2434,0.5734,-0.4102,0.7461,0.7119,-2.6808,0
23721627,0.6838,0.2913,0.5601,-0.3658,0.6669,0.3954,-1.5144,0
23721794,0.6959,0.3341,0.5461,-0.3254,-0.0347,0.5614,0.0694,0
23721961,0.7023,0.3713,0.5333,-0.2906,-0.6309,-0.1199,0.7707,0
23722127,0.7037,0.4033,0.5234,-0.2613,-1.3917,-0.9217,-0.0612,0
23722294,0.7026,0.4297,0.5152,-0.2371,-1.7029,-1.7689,-1.5582,0
23722461,0.7011,0.4509,0.5081,-0.2168,-1.4474,-1.6211,-2.9804,0
23722627,0.7000,0.4676,0.5018,-0.1989,-0.6898,-0.9112,-3.0759,0
23722794,0.6991,0.4804,0.4972,-0.1824,-0.1084,0.4672,-2.5425,0
23722961,0.6978,0.4909,0.4944,-0.1661,0.3096,1.5363,-2.0489,0
23723127,0.6967,0.4999,0.4917,-0.1511,0.2946,2.0035,-2.0151,0
23723294,0.6955,0.5085,0.4885,-0.1378,-0.1238,2.5142,-2.1829,0
23723461,0.6939,0.5175,0.4845,-0.1262,-0.1904,2.5158,-2.2597,0
