DeviceTag: Movella DOT1,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-04-02 14:42:34.243,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1505579,1.0000,0.0005,0.0033,-0.0000,0.0017,0.0122,-0.1292,0
1505746,1.0000,0.0005,0.0033,-0.0000,-0.0050,0.0055,-0.1109,0
1505912,1.0000,0.0005,0.0033,-0.0000,0.0019,-0.0091,-0.1427,0
1506079,1.0000,0.0005,0.0033,-0.0000,0.0029,0.0017,-0.1004,0
1506246,1.0000,0.0005,0.0033,-0.0000,0.0129,0.0113,-0.1150,0
1506412,1.0000,0.0005,0.0033,-0.0000,-0.0069,-0.0017,-0.1108,0
1506579,1.0000,0.0005,0.0033,-0.0000,0.0125,0.0054,-0.1070,0
1506746,1.0000,0.0005,0.0033,-0.0000,0.0064,-0.0011,-0.1056,0
1506912,1.0000,0.0005,0.0033,-0.0000,0.0036,-0.0131,-0.1136,0
1507079,1.0000,0.0005,0.0033,-0.0000,-0.0100,-0.0035,-0.1399,0
1507246,1.0000,0.0005,0.0033,-0.0000,0.0016,-0.0007,-0.1273,0
1507412,1.0000,0.0005,0.0033,-0.0000,-0.0022,-0.0005,-0.1230,0
1507579,1.0000,0.0005,0.0033,-0.0000,-0.0005,0.0006,-0.1073,0
1507746,1.0000,0.0005,0.0033,-0.0000,-0.0144,0.0165,-0.1125,0
1507912,1.0000,0.0005,0.0033,-0.0000,-0.0083,0.0003,-0.1271,0
1508079,1.0000,0.0005,0.0034,-0.0000,0.0160,-0.0030,-0.1108,0
1508246,1.0000,0.0004,0.0034,-0.0000,-0.0124,0.0137,-0.0979,0
1508412,1.0000,0.0004,0.0034,-0.0000,0.0083,0.0018,-0.1272,0
